店名,地址,電話,營業時間,Google評價,菜單圖片,,,,
蒜翻天鹽酥雞,106台灣台北市大安區,,,5,https://scontent-tpe1-1.xx.fbcdn.net/v/t1.0-9/10168149_1480860795463184_1279477342_n.jpg?_nc_cat=102&ccb=2&_nc_sid=8bfeb9&_nc_ohc=Qtqz_tUBmR0AX_Cp7AE&_nc_oc=AQkHMuMVkROTY4u6SZopQCxaYoy5UKuyXZNL1IoAHklxt15t9iK90UXyJNVOl8E7B9I&_nc_ht=scontent-tpe1-1.xx&oh=b1327a2fc88302540f132aa635450388&oe=5FC65241,,,,
忠誠山東蔥油餅 - 此燈亮有餅,106台灣台北市大安區和平東路二段118巷44號,02 2735 2821,"['Monday: 11:00 AM – 8:30 PM', 'Tuesday: 11:00 AM – 8:30 PM', 'Wednesday: 11:00 AM – 8:30 PM', 'Thursday: 11:00 AM – 8:30 PM', 'Friday: Closed', 'Saturday: 11:00 AM – 8:30 PM', 'Sunday: 11:00 AM – 8:30 PM']",4.1,https://angelala.tw/wp-content/uploads/img/pixnet/9fc9b0bbd79d6c6603d9bce238ca3970.jpg,,,,
邦食堂,106台灣台北市大安區和平東路二段96巷17弄28號,02 2736 1316,"['Monday: 11:30 AM – 2:00 PM, 5:30 – 8:00 PM', 'Tuesday: 11:30 AM – 2:00 PM, 5:30 – 8:00 PM', 'Wednesday: 11:30 AM – 2:00 PM, 5:30 – 8:00 PM', 'Thursday: 11:30 AM – 2:00 PM, 5:30 – 8:00 PM', 'Friday: 11:30 AM – 2:00 PM, 5:30 – 8:00 PM', 'Saturday: 11:30 AM – 2:00 PM, 5:30 – 8:00 PM', 'Sunday: Closed']",4.1,https://scontent.fymy1-2.fna.fbcdn.net/v/t1.0-9/s720x720/119979793_2948058345300649_5180391188883531621_o.jpg?_nc_cat=110&_nc_sid=110474&_nc_ohc=P05bUuROaMYAX-T5kKU&_nc_ht=scontent.fymy1-2.fna&tp=7&oh=baf00c4c2634ea6db8b33082868d27df&oe=5FAEDE04,,,,
就是幸福鍋物-大安推薦個人鍋|平價火鍋|必吃鍋物|必吃火鍋|在地推薦火鍋|CP鍋物,106台灣台北市大安區和平東路二段96巷17弄28號,02 2738 5202,"['Monday: 11:00 AM – 2:00 PM, 5:00 – 8:00 PM', 'Tuesday: 11:00 AM – 2:00 PM, 5:00 – 8:00 PM', 'Wednesday: 11:00 AM – 2:00 PM, 5:00 – 8:00 PM', 'Thursday: 11:00 AM – 2:00 PM, 5:00 – 8:00 PM', 'Friday: 11:00 AM – 2:00 PM, 5:00 – 8:00 PM', 'Saturday: 11:00 AM – 2:00 PM, 5:00 – 8:00 PM', 'Sunday: 11:00 AM – 2:00 PM, 5:00 – 8:00 PM']",4.7,,,,,
卡瓦利義式咖啡 Cavaralli,106台灣台北市大安區永康街2巷5號,02 2394 7516,"['Monday: 9:30 AM – 11:00 PM', 'Tuesday: 9:30 AM – 11:00 PM', 'Wednesday: 9:30 AM – 11:00 PM', 'Thursday: 9:30 AM – 11:00 PM', 'Friday: 9:30 AM – 11:30 PM', 'Saturday: 9:30 AM – 11:30 PM', 'Sunday: 9:30 AM – 11:00 PM']",4.2,https://cdn.walkerland.com.tw/images/upload/poi/p36014/m42527/b3250116fe6fa82de96299c39b237cd9bca8f15c.jpg,https://cdn.walkerland.com.tw/images/upload/poi/p36014/m42527/14afa9a4ea26a5b6dfcc39a030618ca79a79965f.jpg,,,
滇味小廚,106台灣台北市大安區復興南路二段340巷5號,02 2736 4269,"['Monday: 11:00 AM – 2:00 PM, 5:00 – 9:00 PM', 'Tuesday: 11:00 AM – 2:00 PM, 5:00 – 9:00 PM', 'Wednesday: 11:00 AM – 2:00 PM, 5:00 – 9:00 PM', 'Thursday: 11:00 AM – 2:00 PM, 5:00 – 9:00 PM', 'Friday: 11:00 AM – 2:00 PM, 5:00 – 9:00 PM', 'Saturday: 11:00 AM – 2:30 PM, 5:00 – 9:00 PM', 'Sunday: 11:00 AM – 2:30 PM, 5:00 – 9:00 PM']",3.8,https://cdn.walkerland.com.tw/images/upload/poi/p36282/m64751/010cfc991ad528bde437aae54a9dc5783a594588.jpg,,,,
貞有緣素食,106台灣台北市大安區復興南路二段340巷2號,02 2737 1663,"['Monday: 11:30 AM – 2:30 PM, 5:00 – 8:00 PM', 'Tuesday: 11:30 AM – 2:30 PM, 5:00 – 8:00 PM', 'Wednesday: 11:30 AM – 2:30 PM, 5:00 – 8:00 PM', 'Thursday: 11:30 AM – 2:30 PM, 5:00 – 8:00 PM', 'Friday: 11:30 AM – 2:30 PM, 5:00 – 8:00 PM', 'Saturday: Closed', 'Sunday: Closed']",4.5,,,,,
河內美食（Hanoi Food),106台灣台北市大安區和平東路二段118巷57號,02 2737 5971,"['Monday: 11:00 AM – 9:00 PM', 'Tuesday: 11:00 AM – 9:00 PM', 'Wednesday: 11:00 AM – 9:00 PM', 'Thursday: 11:00 AM – 9:00 PM', 'Friday: 11:00 AM – 9:00 PM', 'Saturday: 11:00 AM – 9:00 PM', 'Sunday: 11:00 AM – 9:00 PM']",4.2,https://lh3.googleusercontent.com/vZonyeAIKfts5gtIr5MTf9vDSVZjE8fq4m1Q5CGnZBv0LL-4CMJVgYTqoDVuoGJi36IqdzYzwJ8dPNmcy9fE4sie3rcSjg=s767,,,,
小李子清粥小菜,106台灣台北市大安區復興南路二段142之1號,02 2709 2849,"['Monday: 5:00 PM – 6:00 AM', 'Tuesday: 5:00 PM – 6:00 AM', 'Wednesday: 5:00 PM – 6:00 AM', 'Thursday: 5:00 PM – 6:00 AM', 'Friday: 5:00 PM – 6:00 AM', 'Saturday: 5:00 PM – 6:00 AM', 'Sunday: 5:00 PM – 6:00 AM']",3.8,https://scontent-tpe1-1.xx.fbcdn.net/v/t1.0-9/116080889_3127820690601236_5938282525350718375_n.jpg?_nc_cat=104&ccb=2&_nc_sid=110474&_nc_ohc=SLce6lOSbusAX_fzEPQ&_nc_ht=scontent-tpe1-1.xx&oh=2e8cf8f248497ab9ae2376327c713158&oe=5FC2CE57,,,,
呂 巷仔內米粉湯,106台灣台北市大安區和平東路二段118巷48號,02 2737 0523,"['Monday: 10:30 AM – 2:30 PM, 4:00 – 8:00 PM', 'Tuesday: 10:30 AM – 2:30 PM, 4:00 – 8:00 PM', 'Wednesday: 10:30 AM – 2:30 PM, 4:00 – 8:00 PM', 'Thursday: 10:30 AM – 2:30 PM, 4:00 – 8:00 PM', 'Friday: 10:30 AM – 2:30 PM, 4:00 – 8:00 PM', 'Saturday: 6:30 AM – 2:00 PM', 'Sunday: Closed']",4.3,https://scontent-tpe1-1.xx.fbcdn.net/v/t1.0-9/30709135_985615431613119_4489679737148407808_n.jpg?_nc_cat=104&ccb=2&_nc_sid=730e14&_nc_ohc=t-0nwieTV2UAX-EczRA&_nc_oc=AQkj1GZf_OydGLiQMYqj2osaH4WczIK9Kgjyudyi2nCrxWocRdOlIO5a0MbVchLT6YQ&_nc_ht=scontent-tpe1-1.xx&oh=57201cbb5f03c2d53e97ef72927fc5f4&oe=5FC2FDBE,,,,
四面八方,106台灣台北市大安區復興南路二段340巷10號,02 2378 8708,"['Monday: 11:00 AM – 9:00 PM', 'Tuesday: 11:00 AM – 9:00 PM', 'Wednesday: 11:00 AM – 9:00 PM', 'Thursday: 11:00 AM – 9:00 PM', 'Friday: 11:00 AM – 9:00 PM', 'Saturday: 11:00 AM – 9:00 PM', 'Sunday: 11:00 AM – 9:00 PM']",4.2,https://scontent-tpe1-1.xx.fbcdn.net/v/t1.0-9/18581666_432774793746831_13727857568536844_n.jpg?_nc_cat=103&ccb=2&_nc_sid=dd9801&_nc_ohc=oD4s8yO7uQwAX8aYnxp&_nc_ht=scontent-tpe1-1.xx&oh=eb762c428801bb90794cacc1677cb059&oe=5FC47861,,,,
I’m Pasta 和平店,106台灣台北市大安區和平東路二段118巷50號,02 2735 3535,"['Monday: 11:00 AM – 3:30 PM, 5:00 – 8:30 PM', 'Tuesday: 11:00 AM – 3:30 PM, 5:00 – 8:30 PM', 'Wednesday: 11:00 AM – 3:30 PM, 5:00 – 8:30 PM', 'Thursday: 11:00 AM – 3:30 PM, 5:00 – 8:30 PM', 'Friday: 11:00 AM – 3:30 PM, 5:00 – 8:30 PM', 'Saturday: 11:00 AM – 3:30 PM, 5:00 – 8:30 PM', 'Sunday: 11:00 AM – 3:30 PM, 5:00 – 8:30 PM']",4.1,https://cdn.walkerland.com.tw/images/upload/poi/p92366/m78869/4fe7950106960d9229f02dfde3b4666425054e0f.jpg,,,,
I' m Pasta 延吉店,106台灣台北市大安區延吉街137巷21號,02 2778 5755,"['Monday: 11:00 AM – 3:30 PM, 5:00 – 8:30 PM', 'Tuesday: 11:00 AM – 3:30 PM, 5:00 – 8:30 PM', 'Wednesday: 11:00 AM – 3:30 PM, 5:00 – 8:30 PM', 'Thursday: 11:00 AM – 3:30 PM, 5:00 – 8:30 PM', 'Friday: 11:00 AM – 3:30 PM, 5:00 – 8:30 PM', 'Saturday: 11:00 AM – 3:30 PM, 5:00 – 8:30 PM', 'Sunday: 11:00 AM – 3:30 PM, 5:00 – 8:30 PM']",4.1,https://scontent-tpe1-1.xx.fbcdn.net/v/t1.0-9/69927793_546486999431111_7032769794831024128_n.jpg?_nc_cat=109&ccb=2&_nc_sid=8bfeb9&_nc_ohc=K6O11MJTFwkAX8TX3uT&_nc_ht=scontent-tpe1-1.xx&oh=cbf2e8d6bc7248aaa40a85a3616e93df&oe=5FC58D06,,,,
空杯國際-和平店,106台灣台北市大安區和平東路二段118巷52弄1號,02 2736 5040,"['Monday: 11:00 AM – 9:30 PM', 'Tuesday: 11:00 AM – 9:30 PM', 'Wednesday: 11:00 AM – 9:30 PM', 'Thursday: 11:00 AM – 9:30 PM', 'Friday: 11:00 AM – 9:30 PM', 'Saturday: 11:00 AM – 9:30 PM', 'Sunday: 11:00 AM – 9:30 PM']",3.6,https://scontent-tpe1-1.xx.fbcdn.net/v/t1.0-9/50283426_1107864016041188_8117110219433050112_o.jpg?_nc_cat=106&ccb=2&_nc_sid=730e14&_nc_ohc=I0n4SrcTTzQAX8nceoj&_nc_oc=AQliMU6km3isrVWCk4OLoBp4uC2SoI86u9EQTjSc-ntSTu85LkM2xEodZ_DJV5kRYXg&_nc_ht=scontent-tpe1-1.xx&oh=363c902276aecf2b9bf75cf3e9f3e331&oe=5FC3B1C8,,,,
憶馬當鮮 馬來西亞風味料理,106台灣台北市大安區和平東路二段118巷61號,02 2377 3899,"['Monday: 11:30 AM – 2:00 PM, 5:00 – 8:00 PM', 'Tuesday: 11:30 AM – 2:00 PM, 5:00 – 8:00 PM', 'Wednesday: 11:30 AM – 2:00 PM, 5:00 – 8:00 PM', 'Thursday: 11:30 AM – 2:00 PM, 5:00 – 8:00 PM', 'Friday: 11:30 AM – 2:00 PM, 5:00 – 8:00 PM', 'Saturday: Closed', 'Sunday: 11:30 AM – 2:00 PM, 5:00 – 8:00 PM']",4,https://pic.pimg.tw/ahmoon88/1494765547-4200552966_l.jpg?v=1494765706,,,,
穰穰-大安銅板美食|大安必吃小吃|台大美食|科技大樓美食|大安牛肉麵|大安魯肉飯,106台灣台北市大安區和平東路二段118巷61之1號,02 2737 2939,"['Monday: 11:00 AM – 2:00 PM, 5:00 – 8:00 PM', 'Tuesday: 11:00 AM – 2:00 PM, 5:00 – 8:00 PM', 'Wednesday: 11:00 AM – 2:00 PM, 5:00 – 8:00 PM', 'Thursday: 11:00 AM – 2:00 PM, 5:00 – 8:00 PM', 'Friday: 11:00 AM – 2:00 PM, 5:00 – 8:00 PM', 'Saturday: 11:00 AM – 3:00 PM', 'Sunday: Closed']",4.1,https://scontent-tpe1-1.xx.fbcdn.net/v/t1.0-9/102433131_115495716859182_1995784981547221637_n.jpg?_nc_cat=110&ccb=2&_nc_sid=0debeb&_nc_ohc=wqq38BvThB4AX_TZM16&_nc_ht=scontent-tpe1-1.xx&oh=93c9c71987de5890a7dc2818b38edae7&oe=5FC28326,,,,
香港甜品屋,106台灣台北市大安區仁愛路四段345巷5弄1號,02 2775 1024,"['Monday: 11:00 AM – 6:00 PM', 'Tuesday: 11:00 AM – 6:00 PM', 'Wednesday: 11:00 AM – 6:00 PM', 'Thursday: 11:00 AM – 6:00 PM', 'Friday: 11:00 AM – 6:00 PM', 'Saturday: Closed', 'Sunday: Closed']",4,,,,,
二八麵堂,106台灣台北市大安區和平東路二段118巷65-4號,02 2738 5035,"['Monday: 11:00 AM – 3:00 PM, 5:00 – 9:00 PM', 'Tuesday: 11:00 AM – 3:00 PM, 5:00 – 9:00 PM', 'Wednesday: 11:00 AM – 3:00 PM, 5:00 – 9:00 PM', 'Thursday: 11:00 AM – 3:00 PM, 5:00 – 9:00 PM', 'Friday: 11:00 AM – 3:00 PM, 5:00 – 9:00 PM', 'Saturday: 11:00 AM – 3:00 PM, 5:00 – 9:00 PM', 'Sunday: 11:00 AM – 3:00 PM, 5:00 – 9:00 PM']",4,https://khhthomas.github.io/final/images/Menu/noodle02.jpg,,,,
珍品味泰式炭烤（師大第一腿）,106台灣台北市大安區和平東路二段118巷67號,02 2737 5544,"['Monday: 10:30 AM – 8:00 PM', 'Tuesday: 10:30 AM – 8:00 PM', 'Wednesday: 10:30 AM – 8:00 PM', 'Thursday: 10:30 AM – 8:00 PM', 'Friday: 10:30 AM – 8:00 PM', 'Saturday: 10:30 AM – 8:00 PM', 'Sunday: 10:30 AM – 8:00 PM']",3.7,https://cdn.walkerland.com.tw/images/upload/poi/p81753/m64751/5bd9bb5ce8c1b6d02519b0f1b844f7a1fa7df865.jpg,,,,
紫牛平價牛排,106台灣台北市大安區和平東路二段118巷69號,02 2737 4179,"['Monday: 11:30 AM – 9:00 PM', 'Tuesday: 11:30 AM – 9:00 PM', 'Wednesday: 11:30 AM – 9:00 PM', 'Thursday: 11:30 AM – 9:00 PM', 'Friday: 11:30 AM – 9:00 PM', 'Saturday: 11:30 AM – 9:00 PM', 'Sunday: 11:30 AM – 9:00 PM']",3.6,https://khhthomas.github.io/final/images/Menu/other14.jpg,,,,
源士林粥品（台大店）,106台灣台北市大安區和平東路二段118巷67-1號號,02 2732 4312,"['Monday: 11:00 AM – 8:40 PM', 'Tuesday: 11:00 AM – 8:40 PM', 'Wednesday: 11:00 AM – 8:40 PM', 'Thursday: 11:00 AM – 8:40 PM', 'Friday: 11:00 AM – 8:40 PM', 'Saturday: 11:00 AM – 8:40 PM', 'Sunday: 11:00 AM – 8:40 PM']",3.9,http://www.0800040040.com.tw/uploads/menu.jpg,,,,
叮叮食堂,106台灣台北市大安區和平東路二段118巷71號,02 2738 0620,"['Monday: 11:30 AM – 2:00 PM', 'Tuesday: 11:30 AM – 2:00 PM', 'Wednesday: 11:30 AM – 2:00 PM', 'Thursday: 11:30 AM – 2:00 PM', 'Friday: 11:30 AM – 2:00 PM', 'Saturday: Closed', 'Sunday: 11:30 AM – 2:00 PM, 5:00 – 7:30 PM']",4.4,https://khhthomas.github.io/final/images/Menu/rice20.jpg,,,,
台灣第一腿(泰式碳烤),106台灣台北市大安區和平東路二段118巷73號,02 8732 7713,"['Monday: 10:00 AM – 8:00 PM', 'Tuesday: 10:00 AM – 8:00 PM', 'Wednesday: 10:00 AM – 8:00 PM', 'Thursday: 10:00 AM – 8:00 PM', 'Friday: 10:00 AM – 8:00 PM', 'Saturday: 10:00 AM – 8:00 PM', 'Sunday: 10:00 AM – 8:00 PM']",3,,,,,
微笑廚房洋食館,106台灣台北市大安區和平東路二段118巷54弄3號,02 2736 3396,"['Monday: 11:30 AM – 2:30 PM, 5:00 – 8:00 PM', 'Tuesday: 11:30 AM – 2:30 PM, 5:00 – 8:00 PM', 'Wednesday: 11:30 AM – 2:30 PM, 5:00 – 8:00 PM', 'Thursday: 11:30 AM – 2:30 PM, 5:00 – 8:00 PM', 'Friday: 11:30 AM – 2:00 PM, 5:00 – 9:00 PM', 'Saturday: 11:30 AM – 2:00 PM, 5:00 – 9:00 PM', 'Sunday: Closed']",4,https://img.paulyear.com/pixnet/7d6b37feb5f5e92542c7ff9129977c2e.jpg,,,,
林師傅上菜,106台灣台北市大安區和平東路二段118巷54弄9號之1號,0908 337 987,"['Monday: 11:00 AM – 2:30 PM, 5:00 – 8:30 PM', 'Tuesday: 11:00 AM – 2:30 PM, 5:00 – 8:30 PM', 'Wednesday: 11:00 AM – 2:30 PM, 5:00 – 8:30 PM', 'Thursday: 11:00 AM – 2:30 PM, 5:00 – 8:30 PM', 'Friday: 11:00 AM – 2:30 PM, 5:00 – 8:30 PM', 'Saturday: Closed', 'Sunday: Closed']",4.8,https://scontent-tpe1-1.xx.fbcdn.net/v/t1.0-9/120456780_3377680112277604_5368786367435496655_n.jpg?_nc_cat=108&ccb=2&_nc_sid=8bfeb9&_nc_ohc=Vdt9tDohjhcAX9LQPjL&_nc_ht=scontent-tpe1-1.xx&oh=13fac94a1fb88ebbd9c73bc6bbd217cb&oe=5FC5F0AF,,,,
黎記北越河粉,106台灣台北市大安區和平東路二段118巷54弄9號,02 2736 5200,"['Monday: 11:00 AM – 9:00 PM', 'Tuesday: 11:00 AM – 9:00 PM', 'Wednesday: 11:00 AM – 9:00 PM', 'Thursday: 11:00 AM – 9:00 PM', 'Friday: 11:00 AM – 9:00 PM', 'Saturday: 11:00 AM – 8:00 PM', 'Sunday: Closed']",4,https://scontent-tpe1-1.xx.fbcdn.net/v/t1.0-9/105946757_157328655853672_8258644003399454877_o.jpg?_nc_cat=107&ccb=2&_nc_sid=8bfeb9&_nc_ohc=cgP58L3cZOkAX_GooaG&_nc_ht=scontent-tpe1-1.xx&oh=49d8733e1e88bd12c893cc76cf6afbfa&oe=5FC5B1D3,,,,
淺草日式飯糰,106台灣台北市大安區和平東路二段118巷54弄13號,02 2737 0158,"['Monday: 7:00 AM – 6:00 PM', 'Tuesday: 7:00 AM – 6:00 PM', 'Wednesday: 7:00 AM – 6:00 PM', 'Thursday: 7:00 AM – 6:00 PM', 'Friday: 7:00 AM – 6:00 PM', 'Saturday: 7:00 AM – 1:30 PM', 'Sunday: Closed']",4.3,https://cdn3.tw.orstatic.com/userphoto/photo/C/9U9/01XZ4UA6972B7B40D779CCpx.jpg,,,,
安好食,106台灣台北市大安區新生南路三段86巷9號,02 2366 0835,"['Monday: 7:00 AM – 2:00 PM', 'Tuesday: 7:00 AM – 2:00 PM', 'Wednesday: 7:00 AM – 2:00 PM', 'Thursday: 7:00 AM – 2:00 PM', 'Friday: 7:00 AM – 2:00 PM', 'Saturday: 8:00 AM – 3:00 PM', 'Sunday: 8:00 AM – 3:00 PM']",4.3,https://pic.pimg.tw/irisitravel/1588948514-1322715974_wn.jpg,,,,
安好食 和平店-輕食早午餐 必吃捲餅吐司 外燴點心餐盒(預約外送),106台灣台北市大安區和平東路二段118巷54弄6號,02 2738 4185,"['Monday: 7:00 AM – 2:00 PM', 'Tuesday: 7:00 AM – 2:00 PM', 'Wednesday: 7:00 AM – 2:00 PM', 'Thursday: 7:00 AM – 2:00 PM', 'Friday: 7:00 AM – 2:00 PM', 'Saturday: 8:00 AM – 3:00 PM', 'Sunday: 8:00 AM – 3:00 PM']",4.7,https://pic.pimg.tw/irisitravel/1588948514-1322715974_wn.jpg,,,,
梧貳WUERFOODS(歐姆蛋包飯專賣店),106台灣台北市大安區和平東路二段118巷56號,0972 468 890,"['Monday: 11:30 AM – 8:00 PM', 'Tuesday: 11:30 AM – 8:00 PM', 'Wednesday: 11:30 AM – 8:00 PM', 'Thursday: 11:30 AM – 8:00 PM', 'Friday: 11:30 AM – 8:00 PM', 'Saturday: Closed', 'Sunday: 11:30 AM – 8:00 PM']",4.6,,,,,
高和食堂,106台灣台北市大安區和平東路二段118巷60號,02 7709 8815,"['Monday: 11:30 AM – 8:30 PM', 'Tuesday: 11:30 AM – 8:30 PM', 'Wednesday: 11:30 AM – 8:30 PM', 'Thursday: 11:30 AM – 8:30 PM', 'Friday: 11:30 AM – 8:30 PM', 'Saturday: 11:30 AM – 8:30 PM', 'Sunday: 11:30 AM – 8:30 PM']",4.1,https://pic.pimg.tw/gotwtop1/1537836084-1100193709_n.jpg,https://pic.pimg.tw/gotwtop1/1537836084-2817174936_n.jpg,,,
阿玉水餃 (生水餃專賣店),106台灣台北市大安區辛亥路二段217號,02 2736 5875,"['Monday: 8:00 AM – 8:00 PM', 'Tuesday: 8:00 AM – 8:00 PM', 'Wednesday: 8:00 AM – 8:00 PM', 'Thursday: 8:00 AM – 8:00 PM', 'Friday: 8:00 AM – 8:00 PM', 'Saturday: 8:00 AM – 8:00 PM', 'Sunday: 8:00 AM – 8:00 PM']",4.2,https://img.wiselyview.cc/2012/0004/010404blog03.jpg,,,,
麥當勞-復興二店,106台灣台北市大安區復興南路二段273號,02 2754 7577,"['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']",3.5,https://img.komicolle.org/2020-04/15876811129839.jpg,,,,
星巴克 興和門市,106台灣台北市大安區復興南路二段275號,02 2701 9918,"['Monday: 7:00 AM – 9:30 PM', 'Tuesday: 7:00 AM – 9:30 PM', 'Wednesday: 7:00 AM – 9:30 PM', 'Thursday: 7:00 AM – 9:30 PM', 'Friday: 7:00 AM – 9:30 PM', 'Saturday: 7:00 AM – 9:30 PM', 'Sunday: 7:00 AM – 9:30 PM']",4,https://img.j10192001.com/uploads/20180805162124_14.jpg,,,,
丹堤咖啡,106台灣台北市大安區復興南路二段277號,02 2705 8777,"['Monday: 7:00 AM – 9:30 PM', 'Tuesday: 7:00 AM – 9:30 PM', 'Wednesday: 7:00 AM – 9:30 PM', 'Thursday: 7:00 AM – 9:30 PM', 'Friday: 7:00 AM – 9:30 PM', 'Saturday: 7:00 AM – 9:30 PM', 'Sunday: 7:00 AM – 9:30 PM']",3.6,https://twcoupon.com/images/menu/P_dante.jpg,,,,
福勝亭 科技大樓店,106台灣台北市大安區復興南路二段277號,02 2701 6746,"['Monday: 11:00 AM – 9:00 PM', 'Tuesday: 11:00 AM – 9:00 PM', 'Wednesday: 11:00 AM – 9:00 PM', 'Thursday: 11:00 AM – 9:00 PM', 'Friday: 11:00 AM – 9:00 PM', 'Saturday: 11:00 AM – 9:00 PM', 'Sunday: 11:00 AM – 9:00 PM']",4,https://cdn4.tw.orstatic.com/userphoto/File/0/6/00019Z0459F47F67F1D71Dkx.jpg,,,,
玉欣珍傳統美食坊,106台灣台北市大安區復興南路二段291號,02 2755 1084,"['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']",3.4,https://cdn2.tw.orstatic.com/userphoto/photo/A/8M6/01P9T17663A6191A10AFF6px.jpg,,,,
無名鹹水雞,106台灣台北市大安區和平東路二段265巷,,,3.6,,,,,
小辣椒魷魚羹,106台灣台北市大安區和平東路二段267之1號,02 2784 8586,"['Monday: 9:30 AM – 11:30 PM', 'Tuesday: 9:30 AM – 11:30 PM', 'Wednesday: 9:30 AM – 11:30 PM', 'Thursday: 9:30 AM – 11:30 PM', 'Friday: 9:30 AM – 11:30 PM', 'Saturday: 9:30 AM – 11:30 PM', 'Sunday: Closed']",3.5,https://cdn.walkerland.com.tw/images/upload/poi/p50447/m35801/8f1003deffb77a08ce962af40a6d6bd9fa208dd7.jpg,,,,
烏弄原生茶飲 (科技大樓店),106台灣台北市大安區和平東路二段269號,02 2707 0707,"['Monday: 10:00 AM – 10:00 PM', 'Tuesday: 10:00 AM – 10:00 PM', 'Wednesday: 10:00 AM – 10:00 PM', 'Thursday: 10:00 AM – 10:00 PM', 'Friday: 10:00 AM – 10:00 PM', 'Saturday: 11:00 AM – 9:00 PM', 'Sunday: 11:00 AM – 9:00 PM']",4.9,http://www.unocha.com.tw/images/unocha-menu-01.jpg,,,,
佳興魚丸店 和平店,106台灣台北市大安區和平東路二段271號,02 2705 0758,"['Monday: 9:30 AM – 9:30 PM', 'Tuesday: 9:30 AM – 9:30 PM', 'Wednesday: 9:30 AM – 9:30 PM', 'Thursday: 9:30 AM – 9:30 PM', 'Friday: 9:30 AM – 9:30 PM', 'Saturday: 9:30 AM – 9:30 PM', 'Sunday: 9:30 AM – 9:30 PM']",3.5,http://1.bp.blogspot.com/-Er0PgBr_z28/VScw1GYbPlI/AAAAAAAAzTY/mg5k4AjWRSw/s1600/IMG_20150401_172915.jpg,,,,
陳記腸蚵麵線大安店,106台灣台北市大安區和平東路二段279號,02 2703 3585,"['Monday: 8:30 AM – 9:00 PM', 'Tuesday: 8:30 AM – 9:00 PM', 'Wednesday: 8:30 AM – 9:00 PM', 'Thursday: 8:30 AM – 9:00 PM', 'Friday: 8:30 AM – 9:00 PM', 'Saturday: 8:30 AM – 9:00 PM', 'Sunday: Closed']",3.9,https://picdn.gomaji.com/uploads/stores/968/139968/232914/2019-08-26_103117.png,,,,
麥將軍烘焙坊,106台灣台北市大安區和平東路二段285號,02 2708 6089,"['Monday: 8:00 AM – 10:00 PM', 'Tuesday: 8:00 AM – 10:00 PM', 'Wednesday: 8:00 AM – 10:00 PM', 'Thursday: 8:00 AM – 10:00 PM', 'Friday: 8:00 AM – 10:00 PM', 'Saturday: Closed', 'Sunday: 8:00 AM – 10:00 PM']",4.7,,,,,
Laya Burger,106台灣台北市大安區和平東路二段291號,02 2700 9780,"['Monday: 6:00 AM – 1:00 PM', 'Tuesday: 6:00 AM – 1:00 PM', 'Wednesday: 6:00 AM – 1:00 PM', 'Thursday: 6:00 AM – 1:00 PM', 'Friday: 6:00 AM – 1:00 PM', 'Saturday: 6:00 AM – 12:00 PM', 'Sunday: Closed']",3.9,https://images.squarespace-cdn.com/content/v1/5c05f9eff8370aabeed9bdbd/1559095160199-ZB5K37YSCJEWNC3CMIVT/ke17ZwdGBToddI8pDm48kFKCwwWsc7Tk4OnLDnI12Ux7gQa3H78H3Y0txjaiv_0fDoOvxcdMmMKkDsyUqMSsMWxHk725yiiHCCLfrh8O1z4YTzHvnKhyp6Da-NYroOW3ZGjoBKy3azqku80C789l0geeCvn1f36QDdcifB7yxGhm3u-jezcMTSV0gMhk1kdKCvNNbEXKiGBS05W9ljrVOg/1905-3%2B1+DM-01.jpg?format=1000w,,,,
勾癮咖啡,106台灣台北市大安區和平東路二段293號,02 2700 5198,"['Monday: 7:00 AM – 6:00 PM', 'Tuesday: 7:00 AM – 6:00 PM', 'Wednesday: 7:00 AM – 6:00 PM', 'Thursday: 7:00 AM – 6:00 PM', 'Friday: 7:00 AM – 6:00 PM', 'Saturday: 8:00 AM – 6:00 PM', 'Sunday: 8:00 AM – 6:00 PM']",4.2,https://scontent-tpe1-1.xx.fbcdn.net/v/t1.0-9/31416761_592203887802221_1739682699490273033_n.jpg?_nc_cat=103&ccb=2&_nc_sid=730e14&_nc_ohc=RVbK40tQNWYAX9uaV_F&_nc_ht=scontent-tpe1-1.xx&oh=d87315d6f8a561d0944539fa583c6f3f&oe=5FC2ACB4,,,,
手工可口包子饅頭,106台灣台北市大安區和平東路二段295號,02 2701 8211,"['Monday: 6:00 AM – 9:00 PM', 'Tuesday: 6:00 AM – 9:00 PM', 'Wednesday: 6:00 AM – 9:00 PM', 'Thursday: 6:00 AM – 9:00 PM', 'Friday: 6:00 AM – 9:00 PM', 'Saturday: 6:00 AM – 7:00 PM', 'Sunday: Closed']",2.6,,,,,
